GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage Report/order-service,com.ecommerce.orderservice.config,InventoryConfig.Service,7,3,0,0,3,1,2,1,2,1
Coverage Report/order-service,com.ecommerce.orderservice.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
Coverage Report/order-service,com.ecommerce.orderservice.config,InventoryConfig,7,8,0,0,3,2,2,1,2,1
Coverage Report/order-service,com.ecommerce.orderservice.controller,OrderController,8,24,0,0,2,7,1,3,1,3
Coverage Report/order-service,com.ecommerce.orderservice.controller,ConfigTestController,5,6,0,0,1,3,1,1,1,1
Coverage Report/order-service,com.ecommerce.orderservice.client,InventoryClient.StockReservationRequest,17,0,0,0,5,0,5,0,5,0
Coverage Report/order-service,com.ecommerce.orderservice.client,InventoryClient,71,3,4,0,18,1,4,1,2,1
Coverage Report/order-service,com.ecommerce.orderservice.client,InventoryClient.StockCheckResponse,24,0,0,0,7,0,7,0,7,0
Coverage Report/order-service,com.ecommerce.orderservice.exception,OrderNotFoundException,0,4,0,0,0,2,0,1,0,1
Coverage Report/order-service,com.ecommerce.orderservice.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
Coverage Report/order-service,com.ecommerce.orderservice.exception,GlobalExceptionHandler,0,171,0,2,0,33,0,7,0,6
Coverage Report/order-service,com.ecommerce.orderservice.exception,InventoryServiceException,0,5,0,0,0,2,0,1,0,1
Coverage Report/order-service,com.ecommerce.orderservice.service,OrderService,0,207,0,6,0,54,0,11,0,8
Coverage Report/inventory-service,com.ecommerce.inventoryservice.controller,InventoryController,51,37,2,0,12,11,6,5,5,5
Coverage Report/inventory-service,com.ecommerce.inventoryservice.exception,StockConcurrencyException,4,0,0,0,2,0,1,0,1,0
Coverage Report/inventory-service,com.ecommerce.inventoryservice.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
Coverage Report/inventory-service,com.ecommerce.inventoryservice.exception,GlobalExceptionHandler,0,47,0,0,0,9,0,3,0,3
Coverage Report/inventory-service,com.ecommerce.inventoryservice.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
Coverage Report/inventory-service,com.ecommerce.inventoryservice.exception,InventoryExceptionHandler,111,3,0,0,20,1,4,1,4,1
Coverage Report/inventory-service,com.ecommerce.inventoryservice.service,InventoryService,202,255,4,2,47,65,10,12,8,11
